NAME,PRICE (cost)
5-DOOR SLATTE SIDEBOARD W/COOPER,$950
6-DOOR SLATTE SIDEBOARD W/GLASS DOOR,"$1,100"
2-DOOR TILE SIDEBOARD,$450
3-DOOR TILE SIDEBOARD,$500
4-DOOR TILE SIDEBOARD,$750
5-DOOR TILE SIDEBOARD,$950
6-DOOR TILE SIDEBOARD,"$1,150"
2 TILE SIDEBOARD W/FANCY TIN,
3 TILE SIDEBOARD W/FANCY TIN,
4 TILE SIDEBOARD W/FANCY TIN,$950
"36"" IRON BASE BUFFET W/DRWS",$400
"48"" IRON BASE BUFFET W/DRWS.",$500
"60"" IRON BASE BUFFET W/DRWS",$600
"72"" IRON BASE BUFFET W/DRWS.",$700
"48"" SANTA FE BUFFET",$500
"60"" SANTA FE BUFFET",$600
"72"" SANTA FE BUFFET",$700
FANCY TIN IRON BASE BUFFET W/DRWS.,
FANCY TIN IRON BASE BUFFET W/SHELF,
BUFFET W/DRWS.,
BUFFET 4DRW,
6DRWS. BUFFET,
KACHINA BUFFET,
CHIHUAHUA BUFFET,$550
MISSION BUFFET 3 DRWS.,$500
MISSION BUFFET W/TOP,$850
PUEBLA BUFFET,"$1,050"
PUEBLA BUFFET W/IRONBASE,$400
SHAKER BUFFET,$400
TAPER LEG'S BUFFET,"$1,100"
NAIL BUFFET,$500
"POKEMON 60""",$650
5 FT. SANTOS BUFFET,
"48"" CHILI JELLY",$350
"60"" CHILI JELLY",$400
"48"" CHILI DOUBLE JELLY",$450
"60"" CHILI DOUBLE JELLY",$550-
4-DWR FANCY TIN JELLY,
DOUBLE FANCY TIN TALL JELLY,$550
FANCY TIN SHORT JELLY,$350
FANCY TIN TALL JELLY,$400
SHORT FANCY TIN PIE SAFE,
TALL FANCY TIN PIE SAFE,
TALL FANCY TIN PIE SAFE,
DOUBLE KACHINA JELLY,$450
SHORT KACHINA JELLY,
TALL KACHINA JELLY,$350
CROSS SHORT DOUBLE JELLY,$400
CROSS SHORT JELLY,$450
CROSS TALL JELLY,$350
CHIHUAHUA DOUBLE JELLY,$450
CHIHUAHUA TALL JELLY,$350
RUSTIC TIN SHORT,$900
TIN TALL JELLY,$600
TALL ARCH CAVA,$400
TALL ARCH JELLY,$550
PIE SAFE,
TALL PIE SAFE,
RUSTIC JELLY,
SHORT ARCH JELLY,$500
8-PANEL JELLY,
8-PANEL TALL JELLY,
PLAIN SHORT DOUBLE JELLY,
SHORT WINE CAVA,
TALL SANTOS JELLY,3
"48"" TWIG JELLY CABINET",$350
"60"" TWIG JELLY CABINET",$450
"72"" TWIG JELLY CABINET",$550
SM TWIG JELLY CABINET,$300
2 X 3 FANCY IRON BASE COFFEE TABLE,$350
2 X 4 FANCY IRON BASE COFFEE TABLE,$450
2 X 4 FANCY TIN COFFEE TABLE,
4' X 4' FANCY TIN COFFEE TABLE,$650
2 SLATTE X 3 SLATTE TIN COFFEE,$550
"42"" X 42"" SLATTE COFFEE TABLE",
LADIES LEGS COFFEE TABLE,
NAIL COFFEE TABLE,$600
OLD FASHION COFFEE TABLE,$750
OX YOKE SLATTE COFFEE TABLE,$550
SHADOW COFFEE TABLE,$600
SOLID TOP COFFEE TABLE W/STAR,$550
TARAHUMARA OX YOKE COFFEE TABLE,$600
TASCATE COFFEE TABLE W/IRON BASE TURQ. INLAY,$600
"TURN LEGS ROUND COFFEE TABLE 38""",$550
WALL TASCATE COFFEE TABLE INTAKE TURQ.,$700
WESTER STAR COFFEE TABLE,
"22"" X 22"" FANCY TIN END TABLE W/SLATTE",$450
"26"" X 26"" FANCY TIN END TABLE W/SLATTE",$450
FANCY IRON BASE END TABLE W/DRAWER,$350
NAIL END TABLE,
OLD FASHION END TABLE,$350
OX YOKE END TABLE 24X24,$450
OX YOKE SLATTE END TABLE,$300
SHADOW END TABLE,
WALL TASCATE END TABLE INTAKE TURQ.,$300
WESTER STAR END TABLE,
2 SLATTE FANCY TIN SOFA TABLE,$500
2 TILE FANCY TIN SOFA TABLE,$450
3 SLATTE FANCY TIN SOFA TABLE,$350
3 TILE FANCY TIN SOFA TABLE,$550
4 FANCY TIN SOFA TABLE,$400
2 TILE FANCY TIN SOFA TABLE,$450
4 SLATTE FANCY TIN SOFA TABLE,$600
4 SLATTE FANCY TIN SOFA TABLE W/IRONBASE,$650
5 SLATTE FANCY TIN SOFA TABLE,$650
5 SLATTE FANCY TIN SOFA TABLE W/IRONBASE,$375
2 SLATTE IRONBASE SOFA TABLE W/SHELF,$350
3 SLATTE IRONBASE SOFA TABLE W/SHELF,$400
3-SLATTE IRON BASE SOFA TABLE,$400
4 SLATTE IRONBASE SOFA TABLE W/SHELF,$425
4-SLATTE IRON BASE SOFA TABLE,$425
5 SLATTE IRONBASE SOFA TABLE W/SHELF,$450
6 SLATTE IRONBASE SOFA TABLE W/SHELF,$500
2-SLATTE WESTER SOFA TABLE,$350
3-SLATTE WESTER SOFA TABLE,$400
4-SLATTE WESTER SOFA TABLE,$450
WESTER STAR SOFA TABLE,
2 SOLID TOP IRONBASE SOFA TABLE W/SHELF,$350
3 SOLID TOP IRONBASE SOFA TABLE W/SHELF,$400
4 SOLID TOP IRONBASE SOFA TABLE W/SHELF,$450
4 FT. OX YOKE SOFA TABLE W/SLATTE,$550
5 FT. OX YOKE SOFA TABLE W/SLATTE,$600
2 TILE IRONBASE SOFA TABLE W/SHELF,$375
2-TILE IRON BASE SOFA TABLE,$350
3 TILE IRONBASE SOFA TABLE W/SHELF,$425
3-TILE IRON BASE SOFA TABLE,$400
4 TILE IRONBASE SOFA TABLE W/SHELF,$475
4-TILE IRON BASE SOFA TABLE,$450
5 TILE IRON BASE SOFA TABLE,$425
5 TILE IRONBASE SOFA TABLE W/SHELF,$500
SOFA SAN JOSE 30X30X12,$500
SOFA SAN JOSE 36X30X12,
SOFA SAN JOSE 42X30X12,
SOFA SAN JOSE 48X30X12,
SOFA SAN JOSE 60X36X12,
SOFA SAN JOSE 72X36X12,
TURN LEG SOFA TABLE W/TALAVERA,$550
TURN LEGS SOFA TABLE,
HALF MOON SOFA TABLE,$450
NAIL SOFA TABLE,$600
SHADOW SOFA TABLE,$550
WALL TASCATE SOFA TABLE INTAKE TURQ.,
"OX YOKE SOFA TABLE 36""",
"OX YOKE SOFA TABLE 48""",
"18"" CURIO BOOKCASE",$125
"24"" CURIO BOOKCASE",$150
"30"" CURIO BOOKCASE",$175
"36"" CURIO BOOKCASE",$200
"36"" X 36"" CURIO BOOKCASE",
"48"" CURIO BOOKCASE",$225
"18"" DENTAL BOOKCASE",$125
"24"" DENTAL BOOKCASE W/DOORS",
"24"" DENTAL BOOKCASE",
"30"" DENTAL BOOKCASE",$150
"36"" DENTAL BOOKCASE W/DOORS",$175
"36"" DENTAL BOOKCASE",$200
"42"" DENTAL BOOKCASE W/DOORS",$225
"48"" DENTAL BOOKCASE",$600
"18"" DOME BOOKCASE",
"24"" DOME BOOKCASE",
"30"" DOME BOOKCASE",$600
"36"" DOME BOOKCASE",$650
"48"" DOME BOOKCASE",$700
"48"" TWIG BOOKCASE",$800
"TARAHUMARA BOOKCASE 30""",$400
"TARAHUMARA BOOKCASE 36""",$450
BOOKCASE SIMPLE 60X15X36,$450
CHIHUAHUA BOOKCASE,$600
"42"" IRON BASE ARMOIRE",$900
"48"" IRON BASE ARMOIRE",$900
5-DWR WARDROBE ARMOIRE,"$1,000"
5-DWR WARDROBE ARMOIRE 2-DOOR,"$1,100"
ARMOIRE IB W/TIN (IVAN),$900
KACHINA ARMOIRE,
COWHIDE ARMOIRE,$900
"CROSS ARMOIRE 22"" DEEP",
"FANCY TIN ARMOIRE 22"" DEEP",$900
RAISE PANEL ARMOIRE 44X22X72,
WESTERN ARMOIRE,
TWIG ARMOIRE,
KACHINA QUEEN BED,
KACHINA QUEEN HEADBOARD,
CONCHOS CHEST,
CONCHOS KS BED,"$2,500"
COWHIDE,
CUT OUT KING BED,"$2,250"
COWHIDE CUT OUT QUEEN BED,"$2,000"
COWHIDE KING BED,"$2,250"
COWHIDE QUEEN BED,"$2,000"
HONDO COMPLETE BED KS,
HONDO COMPLETE BED QS,
KS BED W/TIN,
PANEL KS BED,
PANEL TWIN BED,
PUEBLO HEADBOARD KING,$450
PUEBLO HEADBOARD QUEEN,$425
QS BED W/TIN,
QS BED PANEL,
QUEEN HEADBOARD W/PANELS,
TWIN JARILLA BED,
OLD WOOD COMPLETE BED KG,"$2,500"
OLD WOOD COMPLETE BED QN,"$2,000"
4-DWR CHEST TIN (IVAN),
5-DWR CHEST TIN (IVAN),
6 DWR DRESSER (IVAN),$650
6 DWR DRESSER TIN (IVAN),$650
6-DWR DRESSER,
7 DWR DRESSER TIN (IVAN),$750
7-DWR DRESSER,
CONCHOS CHEST,$850
CONCHOS DRESSER,
COWHIDE CHEST,
COWHIDE DRESSER NO MIRROR,"$1,450"
COWHIDE DRESSER W/MIRROR,"$1,450"
COWHIDE MIRROR,$250
HONDO CHEST 6 DWR,
HONDO DRESSER 6 DWR,
HONDO DRESSER 7 DWR,
HONDO MIRROR,$250
CHEST LINGERIE 5 DRW.,$550
CHEST LINGERIE 5 DRWS 2-SM 3-LG,
CHEST SOCORRO (OLD WOOD),"$1,550"
DRESSER SOCORRO (OLD WOOD),"$1,550"
"36"" ROSETTE BENCH",$350
"48"" ROSETTE BENCH",$400
"60"" ROSETTE BENCH",$450
"48"" CORONA BENCH",$350
"60"" CORONA BENCH",$400
"72"" CORONA BENCH",$450
BUTT BENCH 1-SEAT,
BUTT BENCH 3-SEAT,
BUTT BENCH 4-SEAT,
3 DRW. BENCH,
3 DRW. BENCH,
"48"" TARAHUMARA BENCH",
"54"" OX YOKE BENCH W/LEATHER",
"60"" CROSS BENCH",
8 FT. TASCATE BENCH TURQ. INLAY,
COW HIDE BENCH,
COWHIDE EXECUTIVE DESK,"$1,500"
COWHIDE EXECUTIVE DESK,"$1,500"
COWHIDE FILE CABINET 3 DRWS,
COWHIDE PUPITRE DESK,
"IRON BASE DESK 18"" DEEP",$450
"IRON BASE DESK 24"" DEEP",
"SPINDEL DESK 36""",$400
"SPINDEL DESK 48""",$450
"SPINDEL DESK 60"" 2-DWR",
"2-DWR SPINDEL DESK 48""",$550
JR. COWHIDE DESK,"$1,200"
JR. WESTERN DESK,
SECRETARY DESK,
WESTER EXECUTIVE DESK,
PUEBLO DESK,"$1,300"
"DESK DE LA SIERRA 54""",
"DESK DE LA SIERRA 60""",
MEZCALERO CHAIR W/COOPER & LEATHER,
MEZCALERO CHAIR W/COOPER WOOD SEAT,
MEZCALERO CHAIR W/LEATHER,$300
CURVE MEZCALERO CHAIR,
HOUSE ARM CHAIR,
HOUSE ARM CHAIR W/LACQ & NAILS,
HOUSE CHAIR,
HOUSE CHAIR W/LACQ & NAILS,$275
OX YOKE CHAIR,
OX YOKE CHAIR W/LEATHER,$300
OX YOKE OLD FASHION CHAIR,$300
PRICHARD CHAIR W/AXIS HIDE,
PRICHARD CHAIR W/COWHIDE,
PRICHARD CHAIR W/CROC,
PRICHARD CHAIR W/CROC,
PRICHARD CHAIR W/GOAT,
PRICHARD CHAIR W/LEATHER,
RICARDO ARM CHAIR,$300
RUSTIC ARM CHAIR W/LEATHER,
RICARDO CHAIR,$275
RUSTIC CHAIR,$300
RUSTIC CHAIR W/LEATHER,
SOUTHWEST CHAIR,
SOUTHWEST CHAIR W/LEATHER,
TASCATE CHAIR W/LEATHER TURQ. INLAY,
TASCATE CHAIR WOOD SEAT,
TURN LEGS CHAIR,
TURN LEGS WESTERN CHAIR,
WINGBACK CHAIR,$550
WINGBACK CHAIR W/CROC,$550
WINGBACK CHAIR W/ZEBRA,
COWHIDE CHAIR FOR DESK,$550
COWHIDE HEAVY CHAIR,$550
COWHIDE ROCKING CHAIR,
CHAIR FOR DESK,
CHAIR FOR DESK,
CORONA CHAIR,
EXECUTIVE CHAIR W/HIDE,
FIERRO LADDER CHAIR,
JUAREZ YOKE TOOLED CHAIR W/LACQUER,
MEXICAN CHAIR,
MEZQUITE CHAIR W/LEATHER,
OCCACIONAL CHAIR,
OFFICE CHAIR,
OLD FASHION LADDER BACK CHAIR,
TRADITIONAL CHAIR W/CARVING,$300
ZARAPE CHAIR,
ROCKING CHAIR,
SOCORRO CHAIR,$300
HARB CHAIR,$300
CARVING CHAIR,$250
ROSETA CHAIR,$275
"24"" STOOLS W/LEATHER",
"30"" STOOLS W/LEATHER",
"BUDWEISER BARSTOOL 30""",
"CORONA BARSTOOL 26""",$275
"CORONA BARSTOOL 30""",$275
COWBOY BACKED BARSTOOL,
COWHIDE SWIVEL BARSTOOL,
"HARLEY BARSTOOLS 26""",
"HARLEY BARSTOOLS 30""",
HOUSE BARSTOOL,
HOUSE BARSTOOL W/LEATHER,
MEXICAN BARSTOOL,
"MEXICAN BARSTOOL 30""",
"MEZCALERO BARSTOOL 24"" W/COOPER",
"NEW COWBOY BARSTOOL 24""",
"NEW COWBOY BARSTOOL 30""",
OLD FASHION BARSTOOL,
OLD FASHION LADDER BACK BARSTOOL,$275
"PLAIN BARSTOOL 24""",$275
"PLAIN BARSTOOL 26""",$275
"PLAIN BARSTOOL 30""",$275
STAR BARSTOOL,
TAOS BARSTOOL,
"TECATE BARSTOOL 30""",
WOODY BARSTOOL,
"XX LAGER BARSTOOL 30""",
TASCATE BARSTOOL W/WRAPPED LEATHER,
TASCATE BARSTOOL,$300
SPINDEL BARSTOOL,$250
RUIDOSO BARSTOOL,$220
SWIVEL BARSTOOL,$450
10 FT OLD FASHION PEDESTAL TABLE,
3X3 OLD FASHION TABLE TURN LEG,
"48"" ROUND OLD FASHION TABLE",
"48"" ROUND OLD FASHION DINING TABLE",
"60"" ROUND OLD FASHION DINING TABLE","$1,300"
7 FT OLD FASHION PEDESTAL TABLE,
8 FT OLD FASHION PEDESTAL TABLE,
9 FT OLD FASHION PEDESTAL TABLE,
10 FT RUSTIC TABLE,
"48"" RUSTIC ROUND TABLE",
"60"" RUSTIC ROUND TABLE",
7 FT RUSTIC TABLE,
8 FT RUSTIC TABLE,
7 FT OLD FASHION TABLE,
9 FT RUSTIC TABLE,
"48"" ROUND TABLE SQUARE BASE",
"60"" ROUND TABLE SQUARE BASE",
7 FT TASCATE DINING TABLE TURQ INLAY,
8 FT TASCATE DINING TABLE TURQ INLAY,
OX YOKE COFFEE TABLE 32X42,
"60"" OX YOKE DINING TABLE",$750
OX YOKE COFFEE TABLE 42X42,
"60"" TURN LEGS DINING TABLE",$500
"60"" OLD FASHION TURN DINING TABLE",$600
"72"" OLD FASHION DOUBLE PEDESTAL DINING TABLE",$600
"36"" OLD FASHION ROUND DINING TABLE","$1,200"
DINING TABLE 7FT IVAN,"$1,000"
DINING TABLE 6FT IVAN,$850
"TABLE ROUND TASCATE 60""",$850
8 FT OLD FASHION TABLE,
SQUARE TABLE 48X36,$850
"40"" ROUND BISTRO TABLE",$650
"48"" ROUND BISTRO TABLE",$650
IN BISTRO TABLE,
CORONA BISTRO TABLE,
CORONA BISTRO TABLE THICK TOP,$500
HARLEY BISTRO TABLE,
MEXICAN BISTRO TABLE,
OLD FASHION BISTRO TABLE,$500
PLAIN BISTRO RECTANGLE,
PLAIN BISTRO TABLE,
"48"" CORONA BAR",
"60"" CORONA BAR",
"72"" CORONA BAR",$900
"48"" PLAIN BAR","$1,000"
"48"" PLAIN BAR W/SLATTE","$1,000"
"60"" PLAIN BAR",
"60"" PLAIN BAR W/SLATTE","$1,000"
"72"" PLAIN BAR","$1,100"
"72"" PLAIN BAR W/SLATTE","$1,200"
"72"" PLAIN BAR W/TILE",
"48"" HARLEY BAR",
"72"" HARLEY BAR",
"48"" MEXICAN BAR",
"72"" MEXICAN BAR",
"48"" TECATE BAR",
"72"" TECATE BAR",
"48"" XX LAGER BAR",
"72"" XX LAGER BAR",
"72"" BUDWEISER BAR",
ISLA 4,"$1,000"
ISLA 6,"$1,350"
COWHIDE SADDLE RACK,
CURIO CORNER CAB.,
FIREPLACE SREEN,
LG COOLER,
MED.CORNER CAB.,
SMALL COOLER,
TALL CORNER CAB.,
WESTERN SADDLE RACK,
12X16 MARIO'S TABLE,$200
12X24 MARIO'S TABLE,$200
12X36 MARIO'S TABLE,$200
12X48 MARIO'S TABLE,$200
16X16 MARIO'S TABLE,$200
16X24 MARIO'S TABLE,$200
16X36 MARIO'S TABLE SO,$200
16X48 MARIO'S TABLE,$200
1-DOOR LAFON SIDEBOARD W/SLATTE,
2-DOOR LAFON SIDEBOARD W/SLATTE,
3-DOOR LAFON SIDEBOARD W/SLATTE,
4-DOOR LAFON SIDEBOARD W/SLATTE,
5-DOOR LAFON SIDEBOARD W/SLATTE,
6-DOOR LAFON SIDEBOARD W/SLATTE,
LAFON ALL METAL DOORS,
LAFON IRON 1-DOOR 5-SHELF,$750
LAFON IRON 2-DOOR 3-SHELF,$950
LAFON MULTIPANEL 2-DOOR,"$1,250"
LAFON MULTIPANEL 4-DOOR,
RUSTIC LAFON 1-DOOR,
RUSTIC LAFON 2-DOOR,
"15"" LAMP SHAKES",
"18"" LAMP SHAKES",
"20"" LAMP SHAKES",
"24"" LAMP SHAKES",
2 FT. TARAHUMARA LADDER W/LEATHER,
CABINET LINEN 6' CROSS 36X18X72,
CABINET LINEN 4 FANCY TIN 36X13X48,
CABINET LINEN 4' FANCY TIN 36X18X48,
CABINET LINEN 5' FANCY TIN 36X13X60,
CABINET LINEN 5' FANCY TIN 36X18X60,
CABINET LINEN 6' FANCY TIN 36 13X72,
CABINET LINEN 6' FANCY TIN 36X18X72,
CABINET LINEN 4' RUSTIC TIN 36X16X48,
CABINET LINEN 5' RUSTIC TIN 36X18X60,
"CABINET LINEN 5"" RUSTIC TIN 36X13X60",
CABINET LINEN 6' RUSTIC TIN 36X18X72,
BATEAS CHICAS,
BATEAS GRANDES,
POT,
ROSETTE WASH STAND,
MED. CORNER CAB.,
TALL CORNER CAB.,"$1,000"
LG COOLER,
SMALL COOLER,
COWHIDE SADDLE RACK,
CURIO CORNER CAB.,
FIREPLACE SCREEN,
WESTERN SADDLE RACK,
SINGLE VANITY,
DOUBLE VANITY,
TERRACOTTA COOKING ISLAND,
MONTURA,$550
VANITY OX YOKE,$600
"48"" SIERRA TV STANDARD",$600
"60"" SIERRA TV-STAND",$600
"72"" SIERRA TV-STAND",
"84"" SIERRA TV STAND",$700
"96"" SIERRA TV STAND",$800
"60"" HACIENDA TV-CONSOLE",$900
"72"" HACIENDA TV-CONSOLE",
"60"" TV-CONSOLE",
"60"" TV-CONSOLE W/COOPER",
"72"" TV-CONSOLE ARS",
"72"" TV-CONSOLE W/COOPER",
TV/VCR STAND ROPE 58X18X30,
TV/VCR STAND ROPE 60X18X36,
TV/VCR STAND W/ROPE 42X13X30,$450
"47"" TV STAND KACHINA BORDER",
TV STAND W/FANCY TIN 42X13X30,
TV/VCR KACHINA BORDER (NO KACHINA),
"GOTIC BUFFET 48""",
"GOTIC BUFFET 60""",
"24"" OX YOKE BOOKCASE",$600
"36"" OX YOKE BOOKCASE",$650
"48"" OX YOKE BOOKCASE",$750
"18"" OX YOKE BOOKCASE",$800
